book_id,title,author,publication_year,genres,summary
10462111,In the Sargasso Sea,,,Adventure novel," The protagonist, Roger Stetworth, unwillingly joins a slave ship called the ""Golden Hind"" captained by Luke Chilton. (When Chilton demanded that Roger ""sign aboard"" he refused and was clubbed on the head and thrown overboard.) He is rescued by the ""Hurst Castle"" and doctored by a painfully stereotyped Irishman. The ""Hurst Castle"" is abandoned but does not founder in a gale and the crew accidentally leave Stetworth marooned aboard. The ship drifts into the center of the Sargasso Sea where Stetworth finds himself in a ships' graveyard in which survivors of previous shipwrecks still inhabit the forgotten ships. Stetworth must rely on his own ingenuity to get free from the choking sargasso weeds."
28091054,A Pele do Ogro,Miguel M. Abrahão,1996,Magic realism," The story told by the novel A Pele do Ogro occurs in the cities of London, Rome, Moscow, Paris and Berlin, and as a basis for the plot, the story of 19th century Europe. The novel is divided into three parts and an epilogue. The first, located between 1848 and 1882, shows the first years of the existence of André Duroseille, desires, fears, love life and his obsession with immortality, beauty and youth. Early in the novel, André meets Claire, a poor girl from Lyon, and falls in love with her. But the intense passion between the two, will be the target of the wrath of the mysterious Pierre Labatut, who lost a family member Duroseille and was determined not to lose another. In the midst of an alleged attack of madness, Pierre puts the fire in the hut in which they live, killed his wife and stepdaughter, Claire, and disappears into the flames. André, accused of murder, he is immediately trapped in the chain of Lyon. In prison, he meets Gaston, who first told him of the existence of the mysterious Lydia, known as Romana: ""Lydia, female liberation! Lydia, my dear! Lydia, his wife immortal! I will glorify and pray for you ... Take me to the promised happiness. (...) Lydia is the master! The Ser ...! The woman who gives pleasure! Lydia, the woman who is a person without being! She has been with us since the dawn of humanity and will exist until the whole sky suffer the final break. Even taking the form of Lydia, a Roman she's all woman, and it is not ...! So it is a goddess""! Leaving prison, arguing that Lydia can give you immortality, the young Duroseille, stubbornly, now married with a son, went to Italy. In his travels across the European continent, André established friendly relations with historical figures like Oscar Wilde, Bram Stoker, Queen Victoria and others, who talk about Lydia and their wealth, power, beauty and youth . However, life does not smile for Duroseille: he finds his brother Henry, who has been missing for years, who hates him and is mortally ill and loses his wife and young son in the middle of an arson. But Lydia dominates his thoughts ... The second part of the novel takes place between 1882 and 1894. During this period, André has finally met Lydia. In the first meeting, she said: (...) You're the only man I've been searching for centuries ... But I had to wait until you have 35 years! My Antinous, my love (...)! A strong and passionate relationship between the two soon begin to suffer the stigma of suspicion. Lydia, after telling his origin, saying he was born in ancient Rome at the time of Emperor Hadrian, reveals that he was the reincarnation of Antinous, his only love! – And invites him to participate in the Palio of Siena, where a new tragedy lies ahead: the couple will be present at the suicide of Stefano, a young athlete who kills himself for love has the Lydia: If we do not the energy of these young people before, – a power that will allow us a long life and eternal youth – young people suffer a lot. Lydia finally reveals the secret of the magic of the ancient Celts, and in the forests of Edinburgh, André became an immortal. However, to keep him, he will remove the energy of someone who loves him deeply, which claimed the life of a young Italian couple. Andre feels the weight of guilt and is believed responsible for all the ills afflicting Europe in the late nineteenth century. And he is responsible! One by one of his closest friends will suffer the process of perjury and exile because of him. The third part, between 1894 and 1900, shows André and Lydia involved in lawsuits and scandals that shook Europe in the late 19th century. At this stage, the protagonist of the story, becomes a witness to the suffering of his best friends: Oscar Wilde is demoralized and imprisoned for the crime of sodomy, Alfred Dreyfus was convicted and exiled to Devil's Island, the writer Emile Zola died in suspicious circumstances and France, his homeland!, is ruled by corrupt politicians. ""Emile Zola murdered? But by whom? Lydia?"" In the home, André is in conflict with the stepdaughter, Paolo, mainly because of Lydia and political beliefs. ""Either you are separated from Lydia, or I do not ever want to see you""! – Paolo reproached him with great fury. With the death of his stepson, daughter and grand-son, André – convinced that Lidia was responsible for all the inequities – decides to destroy the only way possible to stop loving him. For him, there was no doubt in these cases: Lydia, the selfish Romana, wanted her for himself and for this reason, it has eliminated all those he truly loved. The epilogue behind surprising revelation."
16368948,Fat Chance,,1996-04,Young adult literature," The story is set in suburban Melbourne, Australia. The protagonist, Lisa Trelaw, is a teenage girl who is overly concerned about her weight. Other characters include her brother, Nick, who frequently teases her; Lisa's hard working father and over-weight mother; and her best friend Penny. The narrative follows Lisa through a series of life changing events. First, the 'Dog Squad' food van her parents bought and she worked in. Also, the cliff accident where a large rock fell, crushing two of Lisa's friends and narrowly missing her. The story has an ambiguous climax when Lisa is offered a modelling contract. By this stage Lisa's attitude had gone full circle. She had started out obsessed with her weight, always binge eating and then starving herself. In the end she is confident, eating healthy, with no eating disorder."
15737012,The Hills of Varna,Geoffrey Trease,1948,Historical fiction," In 1509, Alan Drayton, a young Yorkshireman, has to leave his college in Cambridge after a tavern brawl. His tutor Erasmus sends him to the continent to try to retrieve a manuscript of The Gadfly, a lost play by the ancient Greek writer Alexis from the time of Socrates. He believes that it is in the monastery of Varna in the Balkans. Alan intends to deliver the play to the printer Aldus Manutius in Venice, refusing to take employment with the ruthless Duke of Molfetta, who wants the play for his private collection. He is joined on the arduous journey to the monastery by a young Italian woman, Angela d'Asola, who disguises herself as a boy. They encounter Adriatic pirates, shipwreck, Turkish janissaries and sinister monks, all the while being doggedly pursued by the agents of the Duke. They find the manuscript but lose it again. In the end, their love of learning saves the day. The author avoids the obvious ending of having the two leading characters marry each other, instead following the custom of the time Angela marries an older wealthy man whom she has had in mind for some time. Alan returns to England, on the verge of its own Renaissance, to continue his education."
14098897,Deep Fathom,James Rollins,2001,Speculative fiction; Adventure novel," The book starts off with three different perspectives of people across the world on a day of a solar eclipse, the first one of the new millennium. One of these characters happen around the President of the United States who is watching the eclipse from the island of Guam on a diplomatic mission with the Chinese. While the eclipse starts off fine, there are earthquakes on the island and the President is forced to evacuate on Air Force One. At the same time, Jack Kirkland is on an underwater salvage mission in the Pacific, trying to salvage gold bricks from a sunken ship when an underwater earthquake occurs causing an underwater volcanic eruption and the magma consequently consumes the ship taking all but one brick of the gold with it. Kirkland returns to his ship, a salvage boat - Deep Fathom, with the brick and shares the disappointment with his team when they are radioed by the U.S. Navy to go to a site close to where they are. Though reluctant, the Deep Fathom proceeds towards the co-ordinates given. On the other side, Canadian Professor Karen Grace and Professor Miyuki Nakano, Karen's Japanese friend from the Okinawa university, are in Okinawa trying to get to the jetty during a curfew. Undettered by earthquakes, they escape from patrols and get to the boat which Karen had hired to take them to the twin dragons, submerged pyramids which had come above the sea level along with a whole city. When they get there they go to a large pyramid to explore but are interrupted with three men come from nowhere and ask them to leave. The women refuse and after chased deep into the pyramid where they find a star-shaped crystal. Using the crystal, the women escape and return to Okinawa. Kirkland and his ship are requested to salvage at a crash site, which turns out to be the site where Air Force One crashed after taking off from Guam. Meanwhile, David Spangler, a covert operations commander and an old acquaintance of Kirkland is ordered by his boss in CIA and the vice-president to secure the black boxes of the crashed plane. Spangler, turns out to be the brother of Kirkland's fiancee, who was killed during a botched space mission, and now vengeful blaming Jack for his sister's death. Spangler decides to kill Kirkland as a side operation. Kirkland uses the Deep Fathom's submersible to find the crash site and along with it, a huge crystal pillar sticking out the ground with the plane's debris all around it. He also finds that all the metal from the plane seems to be magnetized as they work to get the pieces above. Another peculiarity is that his submersible seems to lose contact to the ship every time he went near the pillar and he takes more pictures for his team to study of the pillar. Kirkland and his team do not inform navy about the pillar but start investigating it on their own after they find ancient script on the pillar. Though slow work, they eventually find the plane's black boxes which are taken away by Spangler who subsequently orders Deep Fathom off the site. The writing is the same as that on the crystal found by Karen Grace which is found in Japan. She responds to the emails and decides to meet with Kirkland at Okinawa. Before Kirkland leaves, Spangler sets up two bombs to kill everyone but the one with Kirkland goes out of range before Spangler could detonate it. Kirkland and Grace then go to the risen pyramids and are attacked by fighter jets, when they get away they are found by the people who tried to kill Karen the last time she was there. Only, this time they don't try to kill them. The men, one named Mwahu take them back to Okinawa. When they meet with Miyuki they discover what the inscriptions were through the use of Miyuki's computer system which is an Artificial Intelligence system and how the same writing is found in many other places around the world theorizing that there was one major civilization which actually travelled and populated the other parts of the world. Soon Kirkland gets a call from his ship the Deep Fathom telling him they have a bomb aboard and when the phone terminates he believes that the bomb had exploded. Spangler, who had tapped into the call, is happy as Kirkland's ship and friends were now gone. Karen, Kirkland and Miyuki then go to the pyramid city with Mwahu to following the first civilization clues but when they arrive they are attacked by Spangler's men. Karen is caught, but the others escape and Kirkland is found by the Deep Fathom's crew who are still alive because they defused the bomb and sent out a false message to trick Spangler. Kirkland decides to rescue Karen and when he arrives on Spangler's ship he is fought off by Spangler and his men. Kirkland's team finds out that soon the world is going to be destroyed when a new solar flares hits the pillar by the crash site of Air Force One. Karen is taken to an underwater research base by the pillar where she is kept as prisoner. When she can send them a message they decide another strategy of rescuing Karen. When Kirkland leaves this time in his submersible towards the underwater station he is attacked by Spangler in another submersible. After a brief fight Spangler gets killed by a giant squid which tried to attack Kirkland earlier. Kirkland manages to get on board the deserted underwater base and is told by his team aboard his ship that they are going to destroy the pillar to prevent Armageddon by shooting it with a laser from a satellite that Kirkland had placed in space during his space mission. When the pillar is destroyed the world goes on like it would have on the day of the eclipse without the devastating earthquakes."
427317,The Silver Chair,C. S. Lewis,1953,Speculative fiction; Fantasy; Children's literature," The story starts when Eustace Scrubb, introduced in The Voyage of the Dawn Treader, is driven into the company of classmate Jill Pole at their miserable school Experiment House. The impetus is their need to find sanctuary from the gang of school bullies who run rampant in this laissez-faire and mismanaged school run by an incompetent headmistress. Eustace confides to Jill that he has recently been ""out of this world"" to a land called Narnia, and that his experiences there have led to the changes in his behaviour that everyone seems to have noticed. Jill initially believes that Eustace is lying, but when he promises and asks her to attempt to go to Narnia with him, she agrees. When the bullies are about to converge on the two, Eustace suggests asking for Aslan's help, and the two blunder through a gate that leads them to a high cliff in Aslan's Country. Jill shows off by approaching the cliff's edge, and Eustace, trying to pull her back, falls over the edge. Aslan appears and saves Eustace by blowing him to Narnia. He charges Jill with helping Eustace find Prince Rilian of Narnia (the son of King Caspian X, he disappeared some years before), and he gives Jill four Signs to guide her and Eustace on their quest. The fourth and final Sign is that at a key moment they will be asked to do something in Aslan's name. Aslan then blows Jill into Narnia, where she arrives a few moments after Eustace—just as an elderly and frail King takes ship and sails from the harbor. Jill remembers the Signs, and asks Eustace if he has seen an 'old friend'. They eventually realize that the departing King is actually King Caspian X, who has set off to search for Aslan or his son. Trumpkin the Dwarf, now Lord Regent and quite deaf, provides Jill and Eustace with rooms in Cair Paravel, but on the advice of Glimfeather the Owl they make no mention of their quest. Instead, they are summoned by Master Glimfeather to a Parliament of his fellow talking owls (a pun on Chaucer's Parlement of Foules, but also a nod towards the use of the word ""parliament"" as a collective noun for owls). The owls explain that Caspian's son, Prince Rilian, disappeared while searching for the green serpent that killed his mother, and is under the spell of an enchantress. Jill and Eustace are flown to the marshes on the northern edge of Narnia where they are partnered with the delightfully gloomy but stalwart Marsh-wiggle Puddleglum, who serves as a guide, hunter for food in the wilderness, and down-to-earth voice of reason. They journey toward the giant-lands north of Narnia after crossing the River Shribble. The first giants they encounter take no notice of them, and the trio continue north where they encounter a deep and sinister canyon. The only route across this barrier is an enormous and ancient bridge, many times larger in scale than anything a human might normally use. Hungry and suffering from exposure, they cross the bridge and meet the Lady of the Green Kirtle accompanied by a silent knight in black armour. She encourages them to proceed northward to Harfang, the castle of the ""Gentle Giants"". There, she tells them, they will find warm beds and hot food while the Giants celebrate their Autumn Feast. Jill and Eustace are overtaken at the thought of comfort and warmth, and forget all about the signs and the quest, with only straight-headed Puddleglum arguing against the journey to Harfang. Upon their arrival, they find the Gentle Giants only too pleased to ""have them for their Autumn Feast."" After a night of rest, the three look out a window of the castle and discover the obvious ruins of a giant city in the valley below. They also see the words ""Under Me"" engraved on the road, which they recognize as Aslan's third Sign. Later they make another discovery: that the giants are planning to eat them for the Autumn Feast. After finding an unguarded door, Scrubb, Pole, and Puddleglum escape the castle only to be chased by hunting dogs and giant nobles. They take shelter in a cave under the ruined city, where they fall down a long dark slope into Underland. Battered and bruised, they are now in complete darkness; but they have followed the Sign that said ""Under Me"". They are found by an army of earthmen, who take them aboard a boat across a Sunless Sea to the city ruled by the Lady of the Green Kirtle. Her protégé, a young man, greets the travellers pleasantly but does not seem right in the head. He explains that he suffers from nightly psychotic episodes, and during these episodes he must, by the Lady's orders, be bound to a silver chair; for if he is released, he will turn into a deadly green serpent and kill everyone in sight. The threesome determine to witness the youth in his torment, as they sense it could be the key to their quest. When the young man is tied to his chair, his ""ravings"" seem instead to indicate desperation to escape an enchanted captivity. After launching a battery of dire threats, the youth finally begs his companions to release him in the name of Aslan. Recognizing the fourth Sign, they hesitantly do so. Far from their apprehension of him turning into a serpent or killing them, the young man thanks them. He declares that he is the vanished Prince Rilian, kept underground by the Lady of the Green Kirtle as part of her plot to conquer Overland. The Green Lady returns and tries to bewitch them all into forgetting who they are. The barefoot Puddleglum stamps out the enchantress's magical fire and breaks her spell. The enraged Lady transforms herself into a green serpent, and Rilian realizes that he has been enslaved all these years by his mother's murderer. Rilian kills the serpent with the help of Eustace and Puddleglum, and leads the travellers to escape from Underland. The gnomes, who had also been magically enslaved by the Lady, are now freed by her death and joyfully return to their home even deeper in the earth, a land called Bism. One of them shows Rilian's party a route to the surface before leaving. Rilian returns to Cair Paravel as King Caspian is returning home, and Caspian is reunited with his long-lost son just before dying. Aslan appears and congratulates Eustace and Jill on achieving their goal, then returns them to the stream in his country where Jill first met him. The body of King Caspian appears in the stream, and Aslan instructs Eustace to drive a thorn into the lion's paw. Eustace obeys, and Aslan's blood flows over the dead King, who is revived and returned to youth. Aslan explains that when Jill and Eustace return to their own world, Caspian will go with them briefly, to help set things right there. At the portal between the worlds, Aslan roars, and part of the wall surrounding Experiment House collapses. Caspian, Eustace, and Jill cross the wall and give the school bullies a sound thrashing. The beaten bullies run back towards the school in terror, having also seen Aslan, who lets them glimpse his back as part of the plan. In the confusion Eustace and Jill sneak back into the school building and change into their school clothes, while Aslan and Caspian return to Aslan's country. The headmistress calls the police with a wild story of armed hoodlums and an enormous lion on the school grounds; subsequent enquiries expose her incompetence and mismanagement. The worst of the bullies are expelled and the incompetent headmistress given a new job - failing as a school inspector, she is eventually elected to Parliament. Experiment House becomes a well-managed learning institution, and Eustace and Jill remain good friends."
2644402,The Rainmaker,John Grisham,1995,Mystery; Novel; Fiction; Suspense," Rudy Baylor is about to graduate from Memphis State Law School. He secures a position with a Memphis law firm, which he then loses when the firm is bought up by another, larger firm. As one of the few members of his class without a job lined up, Rudy is forced to apply for part-time and poorly-paid law positions. Desperate for a job, he reluctantly allows ""Prince"" Thomas, the crooked owner of a sleazy bar where he has been working part-time, to introduce him to J. Lyman ""Bruiser"" Stone, a ruthless but successful ambulance chaser, who makes him an associate. To earn his fee, Rudy is required to hunt for potential clients at the local hospital, where he must pick up injury cases and sign them on. He is introduced to Deck Shifflet, a less-than-ethical former insurance assessor who received a law degree but is not a lawyer because he has failed to pass the bar examination six times. Rudy signs two clients. One is his new elderly landlady, who needs a revised will drawn. The other is a poor family, Dot and Buddy Black, whom he met through a class visit to a community center. Their insurance bad faith case could be worth several million dollars in damages. With Stone's firm about to be raided by the police and the FBI, he and Deck set up their own practice and file suit on behalf of the Blacks, whose son Donny Ray is terminally ill with leukemia but almost certainly could have been saved with a bone marrow transplant for which his identical twin brother is a perfect match. The procedure should have been covered and paid for by their insurance company, Great Benefit Life Insurance, which instead denied the claim. Rudy, having just passed the bar exam, has never argued a case before a judge or jury but now finds himself up against experienced and ruthless lawyers from a large firm, headed by Leo F. Drummond. On his side, Rudy has several supporters and a sympathetic newly-appointed judge. While preparing the case in the local hospital, he meets and later falls in love with Kelly Riker, a young battered wife recovering from her latest injuries. Donny Ray dies just before the case is due to be heard. The case goes to trial and Rudy uncovers a scheme Great Benefit ran throughout 1991 to deny every insurance claim submitted, regardless of validity. Great Benefit was playing the odds that the insured would not consult an attorney. A former employee of Great Benefit testifies that the scheme generated an extra $40 million in revenue for the company. The trial ends with a plaintiff's judgment of $50.2 million. Great Benefit quickly declares itself bankrupt, thus allowing it to avoid paying the judgment. This starts a chain of further lawsuits as well as further financial catastrophes for the company and they go out of business. Ultimately, there is no payout for the grieving parents and no fee for Rudy, although Dot Black was never concerned with the settlement money, because for her helping to put the company out of business is an even greater victory. In fact, she testified that if awarded any money from Great Benefit, she would donate it to the American Leukemia Society. During the Black trial, when Kelly is beaten again by her husband, Rudy helps her file for divorce. While he and Kelly retrieve items from her home, Cliff arrives and threatens to kill Rudy, attacking him with a baseball bat. Rudy wrestles the bat away from Cliff and cracks his skull with it. Kelly intervenes and orders him to leave. Cliff dies from the injuries and Kelly allows herself to be charged with manslaughter to protect Rudy. Kelly spends a day in jail before Rudy gets the charges dropped but Cliff's vengeful family have made several death threats against them both. Rudy and Kelly leave the state, heading for someplace where Rudy - who has become disillusioned with the law - can let his license expire and then become a teacher, and Kelly can attend college."
14950169,Cocaine Blues,Kerry Greenwood,1989,," After the Honourable Phryne Fisher solves a country-house jewel robbery in record time, she is asked by Colonel and Mrs. Andrews to look into the matter of their daughter in Australia, who they fear may be being poisoned by her husband. Having grown bored with English social life, Phryne is happy to have an excuse to put off making decisions about her future for the next few months or so, and promptly relocates to Melbourne."
2481655,Carrie's War,Nina Bawden,,Children's literature; Historical novel," Carrie Willow and her brother Nick are evacuated to Wales during the Second World War. They stay with the bullying Mr. Evans, and his gentle but weak sister, whom they call ""Auntie Lou."" The children befriend another young evacuee, Albert Sandwich, who is staying with Mr. Evans' other sister, the dying Mrs Gotobed and her helper Hepzibah who Mr Evans thinks is a witch. They also befriend Mrs. Gotobed's distant cousin Mr. Johnny Gotobed who has cerebral palsy, and her housekeeper, Hepzibah Green. The housekeeper tells the children about a curse on the family which concerns a skull kept in the library. According to the tale, the curse would activate if the skull is removed from the house. Later in the book, Carrie, in a fit of anger, throws the skull out of the window into the outside pond. The next day as they depart on a train, she sees the house burning, and this leads her to believe that she caused it by throwing the skull out of the window. Later their mother comes to visit them but nothing is said about Mr Evans. Carrie's birthday arrives and Albert kisses her on the cheek for a present and she is overjoyed by this. Mrs Gotobed passes away after this. The children believe Mr Evans has stolen her will so that Hepzibah and Mr Johnny are out of his deceased sister's house. Auntie Lou meets an American soldier called Major Cass Harper and becomes very friendly with him (keeping this secret from her brother who would not approve). Mrs Willow sends a letter saying to come home and so they try to reveal the truth of the stolen will. Auntie Lou departs to marry Major Cass Harper at this point. Thirty years later, Carrie's children return and discover that Hepzibah, Mr Johnny and Albert are still alive and that the fire was from Mr Johnny playing with matches. Mr Evans was revealed dead after a few weeks of grief; loneliness and of his sister's departure to America, many years earlier."
5245580,A Fine Dark Line,Joe R. Lansdale,2002-06-01,Speculative fiction; Novel," The story is told through the eyes of Stanley Mitchell, a thirteen year-old boy, the younger of two children. The Mitchells are the owners and proprietors of the only drive-in theater in Dumont. Stanley discovers a tin box containing a collection of troubled love letters that ultimately lead him to a burned-out house, the mysterious deaths of two young women and various secrets that the Dumont leaders would prefer remain buried. Stanley's ally is Buster Smith, the projectionist at the drive-in theater, an elderly black man whose attempts to drown his demons in alcohol are doomed to failure but who has a depth that only Stanley is aware of. In attempting to solve the mysteries of the deaths of the two women, Stanley exposes himself, his family and his friends, to danger."
